fold,seed,trial_seed,best_auc,best_epoch,epochs_ran
1,42,1042,0.9329208791208792,17,31
1,2024,3024,0.9301807692307692,8,22
1,3407,4407,0.9335335164835163,11,25
1,777,1777,0.9313945054945055,9,23
1,1337,2337,0.9322862637362637,13,27
2,42,2042,0.9202884615384616,18,32
2,2024,4024,0.9210236263736264,17,31
2,3407,5407,0.9234153846153845,15,29
2,777,2777,0.924028021978022,19,33
2,1337,3337,0.9225664835164835,17,31
3,42,3042,0.9297868131868132,11,25
3,2024,5024,0.9279851648351648,16,30
3,3407,6407,0.9283010989010989,14,28
3,777,3777,0.9266686813186812,14,28
3,1337,4337,0.9300021978021977,15,29
4,42,4042,0.9272065934065935,21,35
4,2024,6024,0.9307252747252747,11,25
4,3407,7407,0.9265989010989012,12,26
4,777,4777,0.9288994505494506,12,26
4,1337,5337,0.9271736263736263,15,29
5,42,5042,0.930128021978022,11,25
5,2024,7024,0.9332637362637364,11,25
5,3407,8407,0.9293225274725275,10,24
5,777,5777,0.9306510989010988,10,24
5,1337,6337,0.9324725274725275,14,28
